Ticker,Code,Company,Link,Market Cap,Last trade,Change,%Change,Sector
FAL,ASX:FAL,Falcon Metals Limited (ASX:FAL),https://www.listcorp.com/asx/fal/falcon-metals-limited,25665000,0.145,0,0,Materials
RFX,ASX:RFX,RedFlow Limited (ASX:RFX),https://www.listcorp.com/asx/rfx/redflow-limited,25635600,0.097,0,0,Industrials
MRC,ASX:MRC,Mineral Commodities Ltd (ASX:MRC),https://www.listcorp.com/asx/mrc/mineral-commodities,25596300,0.026,0,0,Materials
NXD,ASX:NXD,NextEd Group Limited (ASX:NXD),https://www.listcorp.com/asx/nxd/nexted-group-limited,25474400,0.115,0,0,Consumer Discretionary
TCO,ASX:TCO,Transmetro Corporation Limited (ASX:TCO),https://www.listcorp.com/asx/tco/transmetro-corporation,25293400,1.89,0,0,Consumer Discretionary
RMY,ASX:RMY,RMA Global Limited (ASX:RMY),https://www.listcorp.com/asx/rmy/rma-global-limited,25244600,0.038,0,0,Communication Services
WNX,ASX:WNX,Wellnex Life Limited (ASX:WNX),https://www.listcorp.com/asx/wnx/wellnex-life-limited,25196500,0.84,0,0,Consumer Staples
EMC,ASX:EMC,Everest Metals Corporation Ltd (ASX:EMC),https://www.listcorp.com/asx/emc/everest-metals-corporation-ltd,25148200,0.135,0,0,Materials
G6M,ASX:G6M,Group 6 Metals Limited (ASX:G6M),https://www.listcorp.com/asx/g6m/group-6-metals-limited,25100600,0.025,0,0,Materials
DNK,ASX:DNK,Danakali Limited (ASX:DNK),https://www.listcorp.com/asx/dnk/danakali-limited,25027000,0.0679463,0,0,Materials
KRM,ASX:KRM,Kingsrose Mining (ASX:KRM),https://www.listcorp.com/asx/krm/kingsrose-mining,24866400,0.033,0,0,Materials
ASH,ASX:ASH,Ashley Services Group Limited (ASX:ASH),https://www.listcorp.com/asx/ash/ashley-services-group,24835800,0.1725,0,0,Industrials
CIW,ASX:CIW,Clime Investment Management Limited (ASX:CIW),https://www.listcorp.com/asx/ciw/clime-investment-management-limited,24752100,0.325,0,0,Financials
GC1,ASX:GC1,Glennon Small Companies Limited (ASX:GC1),https://www.listcorp.com/asx/gc1/glennon-small-companies-limited,24525000,0.51,0,0,Financials
TCF,ASX:TCF,360 Capital Mortgage REIT (ASX:TCF),https://www.listcorp.com/asx/tcf/360-capital-mortgage-reit,24494900,5.93,0,0,Financials
HTG,ASX:HTG,Harvest Technology Group Limited (ASX:HTG),https://www.listcorp.com/asx/htg/harvest-technology-group-limited,24359000,0.028,0,0,Information Technology
5EA,ASX:5EA,"5E Advanced Materials, Inc (ASX:5EA)",https://www.listcorp.com/asx/5ea/5e-advanced-materials-inc,24258300,0.072,0,0,Materials
WWG,ASX:WWG,Wiseway Group Limited (ASX:WWG),https://www.listcorp.com/asx/wwg/wiseway-group-limited,24257600,0.145,0,0,Industrials
