Company code,Company Name,Sector,Industry,Year,EPS,BVPS,ROA,ROE,DIV,P/E Ratio,DAR,MB,DY,Market Cap,Total Assets,Year end price
0336.HK,HUABAO INTL,Basic Materials,Specialty Chemicals,2022,-0.3265,3.9167616829678,-0.0634542152961828,1.1416172268774216,0.0538,-11.852089150211164,0.044435226092125,0.9879863572939672,0.0139028609930497,12498883015.954102,16619022000.0,3.869707107543945
0345.HK,VITASOY INT'L,Consumer Defensive,Packaged Foods,2022,-0.149,3.039806812561783,-0.0233211695988905,1.9072376529762836,0.013,-105.5736925777973,0.0995407749532842,5.174828916458348,0.000826421052606,16859142399.705566,6807120000.0,15.730480194091797
0341.HK,CAFE DE CORAL H,Consumer Cyclical,Restaurants,2022,0.036635,4.913232259144088,0.003087088971435,2.4313276082163164,0.28,361.363819778836,0.4515673081148791,2.6944713458150025,0.0211503309407245,7595016855.773926,6871846000.0,13.238563537597656
0347.HK,ANGANG STEEL,Basic Materials,Steel,2022,0.011,41.09412507970869,0.0011135053767875,1.6533590167567291,0.259,192.93559681285512,0.0718004763328556,0.0516446465480133,0.1220378972797503,2995699367.6640625,96991000000.0,2.1222915649414062
0354.HK,CHINASOFT INT'L,Technology,Information Technology Services,2022,0.2611,4.9052012694904,0.0447657308949096,1.3980286104639132,0.0323,25.490962057358367,0.1303884487778654,1.35686383239229,0.0048529903079196,16431302147.27002,16964785000.0,6.6556901931762695
0358.HK,JIANGXI COPPER,Basic Materials,Copper,2022,1.73,52.98717736963462,0.0358211019124558,2.041857428113346,0.5877,6.110689130132598,0.3153970447619775,0.199510385718104,0.055592908659647,14667734667.473633,167330538537.0,10.571492195129396
0363.HK,SHANGHAI IND H,Industrials,Conglomerates,2022,2.128,41.872335307767,0.011931517727765,2.5253792843028924,0.96,3.8205044610159735,0.3039272709992224,0.1941624089816154,0.1180806943565,8839053583.889648,193933752000.0,8.130033493041992
0366.HK,LUKS GROUP (VN),Basic Materials,Building Materials,2022,0.106,5.039287336953503,0.0182052447876111,1.1708206507684846,0.05,9.39492347105494,0.0291554813802416,0.1976195881169719,0.0502077653597513,500373785.2101135,2938384000.0,0.9958618879318236
0369.HK,WING TAI PPT,Real Estate,Real Estate - Development,2022,-0.4,20.023725316828767,-0.0134003019786361,1.2990379583786178,0.27,-7.636321783065796,0.1895141298958849,0.1525454761736651,0.0883933416081117,4145606369.5907593,35499200000.0,3.0545287132263184
0371.HK,BJ ENT WATER,Utilities,Utilities - Regulated Water,2022,0.128313,3.651336280638095,0.0078767669279454,3.098257216902617,0.137,13.409045292712342,0.4483411865662398,0.4712123716918017,0.0796254776187447,17253895161.37207,183184739088.6032,1.7205548286437988
0373.HK,ALLIED GROUP,Financial Services,Credit Services,2022,-0.35,12.270469015567734,-0.0107770419426048,1.6603940668585344,0.1325,-4.891631603240967,0.2167894039735099,0.139527760427267,0.0773916474659712,6015669626.941406,113250000000.0,1.7120710611343384
0374.HK,FOUR SEAS MER,Consumer Defensive,Packaged Foods,2022,0.033,3.516904980455372,0.0037688221103434,2.445661269624255,0.095,75.84761850761645,0.3962957913825408,0.71169719530701,0.0379548881748844,955299046.4082794,3352241000.0,2.5029714107513428
0375.HK,YGM TRADING,Consumer Cyclical,Apparel Retail,2022,0.02,3.008476824386244,0.0053930842398444,1.1994563397482616,0.05,47.85924851894379,0.1035114167849072,0.3181626538120831,0.0522365076211015,158762527.92692184,608928000.0,0.9571849703788756
0382.HK,EDVANTAGE GROUP,Consumer Defensive,Education & Training Services,2022,0.5316,2.525111361617187,0.078619901979691,2.023232953199696,0.16212,5.714545759426373,0.2329582482693497,1.2030568520215643,0.0533666458881354,3579289029.974182,7218096000.0,3.03785252571106
0383.HK,TIANAN MEDICARE,Healthcare,Medical Care Facilities,2022,-0.1694,1.4317934668269128,-0.0382282135315514,2.047386118709777,0.0,-6.330403133153634,0.3028648731923624,0.7489699566326229,0.0,1164604842.306244,3232534000.0,1.0723702907562256
0385.HK,CHINNEY ALLI,Industrials,Engineering & Construction,2022,-0.017,3.505126033089637,-0.0021086061404132,2.146828277124378,0.0275,-35.62500196344712,0.1115638136138577,0.1727826696276497,0.0454076342362958,360285731.57689667,4835896000.0,0.6056250333786011
0384.HK,CHINA GAS HOLD,Utilities,Utilities - Regulated Gas,2022,1.39,11.69261509092514,0.046964188325829,2.2637473205769463,0.55,7.1775834337412885,0.3536640954129333,0.8532600188510101,0.0551276703210904,54248474179.6875,163146352000.0,9.97684097290039
0386.HK,SINOPEC CORP,Energy,Oil & Gas Integrated,2022,0.547,32.74953135004824,0.0343048944683594,2.076672463817477,0.5467,5.923139983600846,0.1828184925486425,0.0989314178697366,0.1687367775702871,77918384714.20459,1951121000000.0,3.239957571029663
0387.HK,LEEPORT(HOLD),Industrials,Specialty Industrial Machinery,2022,0.0361,2.0645482362349834,0.0083376189316178,2.1228947200408608,0.105,20.137652135621806,0.2326192674483999,0.352120250492033,0.1444352717004522,167258175.34446716,997527000.0,0.7269692420959473
0388.HK,HKEX,Financial Services,Financial Data & Stock Exchanges,2022,7.96,39.32590638875415,0.0248195423727561,8.104972155132836,7.63,39.870360868061006,0.0042974897241972,8.070203630462842,0.0240414857728488,401315086135.65625,406051000000.0,317.3680725097656
0390.HK,CHINA RAILWAY,Industrials,Engineering & Construction,2022,1.198,71.58952638959005,0.0193846331627998,3.813744659898176,0.22956,3.105441596551809,0.2419677223736416,0.0519673647849421,0.0617043855605326,15652832916.286194,1613282322000.0,3.7203190326690674
0392.HK,BEIJING ENT,Industrials,Conglomerates,2022,5.843732,71.23587217927479,0.0334758207426465,2.145517891430308,1.35,3.746391208386155,0.3539012902985674,0.307329797743872,0.0616638096535794,27541275985.717773,220320929839.3315,21.892906188964844
0434.HK,BOYAA,Communication Services,Electronic Gaming & Multimedia,2022,0.0977,2.1949627141733568,0.0359343777811361,1.225972425416048,0.0,4.069751458377897,0.0092511432393554,0.181148734288758,0.0,263985152.0992584,1786590000.0,0.3976147174835205
0435.HK,SUNLIGHT REIT,Real Estate,REIT - Diversified,2022,0.06,8.13768314876098,0.0054294264746353,1.3493571005177485,0.25,47.39085038503011,0.2261976578319993,0.3494177606970041,0.0879213314978378,4909815361.595337,18960382000.0,2.843451023101806
0436.HK,NU ENVIRO,Industrials,Waste Management,2022,0.0024,0.316789211759151,0.0048036849606947,1.4077509490872675,0.0039,53.412914276123054,0.0651406892525062,0.4046570700777416,0.0304233540150872,389149397.18115234,1514046000.0,0.1281909942626953
0440.HK,DAH SING,Financial Services,Banks - Regional,2022,3.83,92.62570995539176,0.0047244264754208,6.960086436868587,1.06,3.960946334559986,0.0167484583870024,0.1637820046795946,0.0698727977387549,4848088518.604034,259159076000.0,15.170424461364746
0450.HK,HUNG HING PRINT,Industrials,Specialty Business Services,2022,0.073,3.367485834703197,0.0165710282278098,1.2492431153116723,0.09,11.51816730629908,0.0576151751453145,0.2496896066183278,0.1070375763386011,762719350.6488075,3985148000.0,0.8408262133598328
0455.HK,TIANDA PHARMA,Healthcare,Drug Manufacturers - Specialty & Generic,2022,-0.0092,0.3519720458567231,-0.0169831920429566,1.475336311503976,0.0056,-43.02589465742526,0.1378111602360862,1.1246297412194086,0.0141471933825056,851068055.1867523,1164151000.0,0.3958382308483124
0458.HK,TRISTATE HOLD,Consumer Cyclical,Apparel Manufacturing,2022,0.11,3.7422864550691,0.010003221497629,2.959378649668391,0.0,4.575519128279253,0.1073711181522451,0.1344918701851284,0.0,137202015.86122894,3076209000.0,0.5033071041107178
0467.HK,UNITEDENERGY GP,Energy,Oil & Gas E&P,2022,0.0994,0.6156247007982703,0.0948642158576832,1.734574659883526,0.04,6.50424592691648,0.1390426583025052,1.0501886040263877,0.0618695066950374,16595122328.36914,27419844000.0,0.646522045135498
0468.HK,GAPACK,Consumer Cyclical,Packaging & Containers,2022,0.14,1.861891957239396,0.0426195768675638,1.633502727560036,0.0,9.997639485767907,0.0562064260817407,0.7517458371122565,0.0,1969516960.5504916,4279653000.0,1.399669528007507
0489.HK,DONGFENG GROUP,Consumer Cyclical,Auto Manufacturers,2022,1.1914,62.53591365151211,0.0311026675877783,1.9937415426251688,0.3498,3.349970146295747,0.1656001163509435,0.0638217977359038,0.0876438148244501,9946754820.736084,330036000000.0,3.991154432296753
0506.HK,CHINA FOODS,Consumer Defensive,Beverages - Non-Alcoholic,2022,0.2359,1.9734650154608355,0.0438052161743827,1.699683442463349,0.125,10.68087339704448,0.0038311871740969,1.276748264916377,0.0496106942779572,7047926199.963623,15062955000.0,2.519618034362793
0512.HK,GRAND PHARMA,Healthcare,Drug Manufacturers - Specialty & Generic,2022,0.587,4.038008436505885,0.0929512909557575,1.5744666280986384,0.11,7.207347343483816,0.2000478207090848,1.0477226477233077,0.0260003462404062,14815152369.0625,22371061000.0,4.230712890625
